name,obsType
GJ341b,transit
GJ357b,transit
GJ367b,phase
GJ4102b,transit
GJ486b,eclipse
GJ486b,transit
HD15337b,transit
HD5337c,transit
HIP67522b,transit
L168-9b,transit
L98-59c,transit
L98-59d,transit
LHS3844b,eclipse
LP791-18c,transit
LTT1445Ab,transit
LTT1445Ab,eclipse
LTT9779b,phase
TOI-178b,transit
TOI-178d,transit
TOI-178g,transit
TOI-260.01,transit
TOI-421b,transit
TOI-776b,transit
TOI-776c,transit
TOI-836.01,transit
TOI-836.02,transit
W1856b,transit
W1856b,eclispe
55Cnce,eclipse
GJ1132b,transit
GJ1132b,eclipse
GJ1214b,phase
GJ1214b,transit
GJ3470b,transit
GJ3470b,eclipse
GJ436b,eclipse
HAT-P-1b,eclipse
HAT-P-1b,transit
HAT-P-12b,transit
HAT-P-26b,transit
HAT-P-26b,eclipse
HATS-72b,transit
HD149026b,eclipse
HD189733b,transit
HD189733b,eclipse
HD209458b,transit
HD209458b,eclipse
HD80606b,eclipse
K2-141b,phase
K2-18b,transit
Kepler-51b,transit
Kepler-51d,transit
LHS1140b,transit
LHS1140c,transit
NGTS-10b,phase
TRAPPIST-1b,transit
TRAPPIST-1b,eclipse
TRAPPIST-1c,transit
TRAPPIST-1c,eclipse
TRAPPIST-1d,transit
TRAPPIST-1e,transit
TRAPPIST-1f,transit
TRAPPIST-1g,transit
TRAPPIST-1h,transit
V1298Taub,transit
V1298Tauc,transit
WASP-107b,transit
WASP-107b,eclipse
WASP-121b,phase
WASP-127b,transit
WASP-166b,transit
WASP-17b,eclipse
WASP-17b,transit
WASP-178b,transit
WASP-18b,eclipse
WASP-39b,transit
WASP-43b,phase
WASP-52b,eclipse
WASP-52b,transit
WASP-63b,transit
WASP-69b,eclipse
WASP-77b,eclipse
WASP-80b,eclipse
WASP-80b,transit